rank,finalWorth,category,personName,age,country,city,source,industries,countryOfCitizenship,organization,selfMade,status,gender,birthDate,lastName,firstName,title,date,state,residenceStateRegion,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country,associated_companies,number_of_companies
1368,2200,Automotive,Shmuel Harlap,78.0,Israel,Tel Aviv,Automotive,Automotive,Israel,,False,U,M,11/13/1944 0:00,Harlap,Shmuel,Heir & Major Shareholder,4/4/2023 5:01,,,1944.0,11.0,13.0,108.15,0.8,"$395,098,666,122 ",63.4,104.9,82.8,23.1,25.3,9053300.0,31.046051,34.851612,Automotive,1
1368,2200,Technology,Hans-Werner Hector,83.0,Germany,Weinheim,SAP,Technology,Germany,,True,D,M,1/17/1940 0:00,Hector,Hans-Werner,Founder & Entrepreneur & SAP,4/4/2023 5:01,,,1940.0,1.0,17.0,112.85,1.4,"$3,845,630,030,824 ",70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526,SAP,1
1368,2200,Healthcare,Lutz Mario Helmig & family,76.0,Germany,Grebenhain,Hospitals,Healthcare,Germany,,True,U,M,8/29/1946 0:00,Helmig,Lutz Mario,Controlling Shareholder & (Family Estate),4/4/2023 5:01,,,1946.0,8.0,29.0,112.85,1.4,"$3,845,630,030,824 ",70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526,Hospitals,1
1368,2200,Real Estate,Chulong Huang,64.0,China,Shenzhen,Real estate,Real Estate,Canada,,True,D,M,1/1/1959 0:00,Huang,Chulong,Founder & Entrepreneur,4/4/2023 5:01,,,1959.0,1.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,Real estate,1
1368,2200,Finance & Investments,Thomas James,80.0,United States,Saint Petersburg,Finance,Finance & Investments,United States,,False,U,M,5/10/1942 0:00,James,Thomas,Heir & Major Shareholder,4/4/2023 5:01,Florida,South,1942.0,5.0,10.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Finance,1
1368,2200,Fashion & Retail,James Jannard,73.0,United States,San Juan Islands,Sunglasses,Fashion & Retail,United States,,True,D,M,6/8/1949 0:00,Jannard,James,Founder & Entrepreneur,4/4/2023 5:01,Washington,West,1949.0,6.0,8.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Sunglasses,1
1368,2200,Automotive,Willis Johnson,75.0,United States,Franklin,Damaged cars,Automotive,United States,,True,U,M,5/26/1947 0:00,Johnson,Willis,Founder & Entrepreneur,4/4/2023 5:01,Tennessee,South,1947.0,5.0,26.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Damaged cars,1
1368,2200,Fashion & Retail,Lai Shixian,48.0,China,Quanzhou,Sports apparel,Fashion & Retail,China,,True,U,M,1/1/1975 0:00,Lai,Shixian,Founder & Entrepreneur,4/4/2023 5:01,,,1975.0,1.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,Sports apparel,1
1368,2200,Finance & Investments,Chris Larsen,62.0,United States,San Francisco,Cryptocurrency,Finance & Investments,United States,,True,D,M,6/15/1960 0:00,Larsen,Chris,Founder & Entrepreneur,4/4/2023 5:01,California,West,1960.0,6.0,15.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Cryptocurrency,1
1368,2200,Fashion & Retail,Solomon Lew,78.0,Australia,Melbourne,Retail,Fashion & Retail,Australia,,True,D,M,3/22/1945 0:00,Lew,Solomon,Founder & Entrepreneur,4/4/2023 5:01,,,1945.0,3.0,22.0,119.8,1.6,"$1,392,680,589,329 ",113.1,100.3,82.7,23.0,47.4,25766605.0,-25.274398,133.775136,Retail,1
1368,2200,Diversified,Liang Xinjun,54.0,Singapore,Singapore,Conglomerate,Diversified,Singapore,,True,E,M,10/1/1968 0:00,Liang,Xinjun,Founder & Entrepreneur,4/4/2023 5:01,,,1968.0,10.0,1.0,114.41,0.6,"$372,062,527,489 ",84.8,100.6,83.1,13.1,21.0,5703569.0,1.352083,103.819836,Conglomerate,1
1368,2200,Diversified,Harald Link,68.0,Thailand,Bangkok,Diversified,Diversified,Thailand,,False,U,M,1/12/1955 0:00,Link,Harald,Heir & Major Shareholder,4/4/2023 5:01,,,1955.0,1.0,12.0,113.27,0.7,"$543,649,976,166 ",49.3,99.8,76.9,14.9,29.5,69625582.0,15.870032,100.992541,Diversified,10
1368,2200,Technology,Max Lytvyn,43.0,United States,San Francisco,Software,Technology,Canada,,True,D,M,1/1/1980 0:00,Lytvyn,Max,Founder & Entrepreneur,4/4/2023 5:01,California,West,1980.0,1.0,1.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Software,1
1368,2200,Energy,Igor Makarov,60.0,United States,Miami,Investments,Energy,Cyprus,,True,U,M,4/15/1962 0:00,Makarov,Igor,Founder & Entrepreneur,4/4/2023 5:01,Florida,South,1962.0,4.0,15.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Investments,1
1368,2200,Finance & Investments,Howard Marks,76.0,United States,New York,Private equity,Finance & Investments,United States,Oaktree Capital Group LLC,True,E,M,4/23/1946 0:00,Marks,Howard,Chairman,4/4/2023 5:01,New York,Northeast,1946.0,4.0,23.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,"Oaktree Capital Group LLC, Private equity",2
1368,2200,Finance & Investments,Charles Munger,99.0,United States,Los Angeles,Berkshire Hathaway,Finance & Investments,United States,Berkshire Hathaway Inc. (Cl A),True,D,M,1/1/1924 0:00,Munger,Charles,Vice Chairman,4/4/2023 5:01,California,West,1924.0,1.0,1.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,"Berkshire Hathaway, Berkshire Hathaway Inc. (Cl A)",2
1368,2200,Real Estate,Adam Neumann,44.0,United States,Miami,WeWork,Real Estate,Israel,,True,U,M,4/1/1979 0:00,Neumann,Adam,Founder & Entrepreneur,4/4/2023 5:01,Florida,South,1979.0,4.0,1.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,WeWork,1
1368,2200,Diversified,Thi Phuong Thao Nguyen,52.0,Vietnam,Ho Chi Minh City,Airlines,Diversified,Vietnam,Sovico Holdings,True,D,F,6/7/1970 0:00,Nguyen,Thi Phuong Thao,Cofounder and Chairman,4/4/2023 5:01,,,1970.0,6.0,7.0,163.52,2.8,"$261,921,244,843 ",28.5,110.6,75.3,19.1,37.6,96462106.0,14.058324,108.277199,"Airlines, Sovico Holdings",2
1368,2200,Food & Beverage,Ni Yongpei & family,71.0,China,Liuan,Beverages,Food & Beverage,China,,True,D,M,1/23/1952 0:00,Ni,Yongpei,Controlling Shareholder & (Family Estate),4/4/2023 5:01,,,1952.0,1.0,23.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,Beverages,1
1368,2200,Manufacturing,Heloise Pratt,60.0,Australia,Melbourne,"Manufacturing, investment",Manufacturing,Australia,,False,D,F,9/13/1962 0:00,Pratt,Heloise,Heir & Major Shareholder & Manufacturing,4/4/2023 5:01,,,1962.0,9.0,13.0,119.8,1.6,"$1,392,680,589,329 ",113.1,100.3,82.7,23.0,47.4,25766605.0,-25.274398,133.775136,"Manufacturing, investment",2
1368,2200,Technology,Qi Xiangdong,52.0,China,Beijing,Software,Technology,China,,True,U,M,10/1/1970 0:00,Qi,Xiangdong,Founder & Entrepreneur,4/4/2023 5:01,,,1970.0,10.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,Software,1
1368,2200,Technology,Phillip T. (Terry) Ragon,73.0,United States,Boston,Health IT,Technology,United States,,True,U,M,6/1/1949 0:00,Ragon,Phillip T. (Terry),Founder & Entrepreneur & IT,4/4/2023 5:01,Massachusetts,Northeast,1949.0,6.0,1.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Health IT,1
1368,2200,Healthcare,Prathap Reddy,91.0,India,Chennai,Healthcare,Healthcare,India,,True,D,M,2/5/1932 0:00,Reddy,Prathap,Founder & Entrepreneur,4/4/2023 5:01,,,1932.0,2.0,5.0,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,Healthcare,1
1368,2200,Sports,Jerry Reinsdorf,87.0,United States,Chicago,Sports teams,Sports,United States,,True,U,M,2/25/1936 0:00,Reinsdorf,Jerry,Founder & Entrepreneur,4/4/2023 5:01,Illinois,Midwest,1936.0,2.0,25.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Sports teams,1
1368,2200,Technology,Chad Richison,52.0,United States,Edmond,Payroll processing,Technology,United States,,True,D,M,10/10/1970 0:00,Richison,Chad,Founder & Entrepreneur,4/4/2023 5:01,Oklahoma,South,1970.0,10.0,10.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Payroll processing,1
1368,2200,Fashion & Retail,"Karl Scheufele, III. & family",84.0,Switzerland,Geneva,Jewelry,Fashion & Retail,Switzerland,,True,U,M,1/1/1939 0:00,Scheufele,Karl,Controlling Shareholder & (Family Estate),4/4/2023 5:01,,,1939.0,1.0,1.0,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512,Jewelry,1
1368,2200,Healthcare,Alice Schwartz,96.0,United States,El Cerrito,Biotech,Healthcare,United States,,True,U,F,7/2/1926 0:00,Schwartz,Alice,Founder & Entrepreneur,4/4/2023 5:01,California,West,1926.0,7.0,2.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Biotech,1
1368,2200,Technology,Alex Shevchenko,43.0,Canada,,Software,Technology,Canada,,True,D,M,1/1/1980 0:00,Shevchenko,Alex,Founder & Entrepreneur,4/4/2023 5:01,,,1980.0,1.0,1.0,116.76,1.9,"$1,736,425,629,520 ",68.9,100.9,81.9,12.8,24.5,36991981.0,56.130366,-106.346771,Software,1
1368,2200,Technology,Kavitark Ram Shriram,66.0,United States,Menlo Park,"Venture capital, Google",Technology,United States,Sherpalo Ventures,True,D,M,1/21/1957 0:00,Shriram,Kavitark Ram,Founder & Lead Investor & capital,4/4/2023 5:01,California,West,1957.0,1.0,21.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,"Google, Sherpalo Ventures, Venture capital",3
1368,2200,Real Estate,Jeffrey Soffer,55.0,United States,Aventura,Real estate,Real Estate,United States,,False,N,M,12/13/1967 0:00,Soffer,Jeffrey,Heir & Major Shareholder,4/4/2023 5:01,Florida,South,1967.0,12.0,13.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Real estate,1
1368,2200,Technology,William Stone,67.0,United States,East Lyme,Software,Technology,United States,,True,D,M,4/9/1955 0:00,Stone,William,Founder & Entrepreneur,4/4/2023 5:01,Connecticut,Northeast,1955.0,4.0,9.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Software,1
1368,2200,Finance & Investments,Henry Swieca,65.0,United States,New York,Hedge funds,Finance & Investments,United States,Talpion Fund Management,True,U,M,5/9/1957 0:00,Swieca,Henry,Founder,4/4/2023 5:01,New York,Northeast,1957.0,5.0,9.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,"Hedge funds, Talpion Fund Management",2
1368,2200,Diversified,Harley Sy,63.0,Philippines,Manila,Diversified,Diversified,Philippines,,False,D,M,6/1/1959 0:00,Sy,Harley,Heir & Major Shareholder,4/4/2023 5:01,,,1959.0,6.0,1.0,129.61,2.5,"$376,795,508,680 ",35.5,107.5,71.1,14.0,43.1,108116615.0,12.879721,121.774017,Diversified,10
1368,2200,Diversified,Teresita Sy-Coson,72.0,Philippines,Manila,Diversified,Diversified,Philippines,,False,D,F,10/1/1950 0:00,Sy-Coson,Teresita,Heir & Major Shareholder,4/4/2023 5:01,,,1950.0,10.0,1.0,129.61,2.5,"$376,795,508,680 ",35.5,107.5,71.1,14.0,43.1,108116615.0,12.879721,121.774017,Diversified,10
1368,2200,Real Estate,Katsumi Tada,77.0,Japan,Tokyo,Real estate,Real Estate,Japan,,True,D,M,7/12/1945 0:00,Tada,Katsumi,Founder & Entrepreneur,4/4/2023 5:01,,,1945.0,7.0,12.0,105.48,0.5,"$5,081,769,542,380 ",63.2,98.8,84.2,11.9,46.7,126226568.0,36.204824,138.252924,Real estate,1
1368,2200,Manufacturing,Tang Jinkui & family,67.0,China,Suzhou,"Textiles, petrochemicals",Manufacturing,China,,True,D,M,9/19/1955 0:00,Tang,Jinkui,Controlling Shareholder & Textiles & (Family Estate),4/4/2023 5:01,,,1955.0,9.0,19.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,"Textiles, petrochemicals",2
1368,2200,Technology,Tang Xiao'ou,55.0,China,Shanghai,Software,Technology,Hong Kong,,True,D,M,1/1/1968 0:00,Tang,Xiao'ou,Founder & Entrepreneur,4/4/2023 5:01,,,1968.0,1.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,Software,1
1368,2200,Fashion & Retail,Lottie Tham & family,73.0,Sweden,Stockholm,H&M,Fashion & Retail,Sweden,,False,D,F,4/18/1949 0:00,Tham,Lottie,Controlling Shareholder & H&M (Family Estate),4/4/2023 5:01,,,1949.0,4.0,18.0,110.51,1.8,"$530,832,908,738 ",67.0,126.6,82.5,27.9,49.1,10285453.0,60.128161,18.643501,H&M,1
1368,2200,Healthcare,Shamsheer Vayalil,46.0,United Arab Emirates,Abu Dhabi,Healthcare,Healthcare,India,,False,R,M,1/11/1977 0:00,Vayalil,Shamsheer,Heir & Major Shareholder,4/4/2023 5:01,,,1977.0,1.0,11.0,114.52,-1.9,"$421,142,267,938 ",36.8,108.4,77.8,0.1,15.9,9770529.0,23.424076,53.847818,Healthcare,1
1368,2200,Technology,Radha Vembu,50.0,India,Chennai,Business software,Technology,India,,False,U,F,12/24/1972 0:00,Vembu,Radha,Heir & Major Shareholder,4/4/2023 5:01,,,1972.0,12.0,24.0,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,Business software,1
1368,2200,Fashion & Retail,Wang Wenmo,66.0,China,Quanzhou,Sports apparel,Fashion & Retail,China,,True,U,M,1/1/1957 0:00,Wang,Wenmo,Founder & Entrepreneur,4/4/2023 5:01,,,1957.0,1.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,Sports apparel,1
1368,2200,Service,Wang Zhenghua,78.0,China,Shanghai,Budget airline,Service,China,,True,U,M,4/25/1944 0:00,Wang,Zhenghua,Founder & Entrepreneur,4/4/2023 5:01,,,1944.0,4.0,25.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,Budget airline,1
1368,2200,Food & Beverage,David Wertheim,65.0,Israel,,Coca-Cola Israel,Food & Beverage,Israel,,False,D,M,1/1/1958 0:00,Wertheim,David,Heir & Major Shareholder,4/4/2023 5:01,,,1958.0,1.0,1.0,108.15,0.8,"$395,098,666,122 ",63.4,104.9,82.8,23.1,25.3,9053300.0,31.046051,34.851612,Coca-Cola Israel,1
1368,2200,Energy,Kai Wu,55.0,China,Ningde,Batteries,Energy,China,,True,D,M,1/1/1968 0:00,Wu,Kai,Founder & Entrepreneur,4/4/2023 5:01,,,1968.0,1.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,Batteries,1
1368,2200,Food & Beverage,Xu Yingzhuo,55.0,China,Guangzhou,Agribusiness,Food & Beverage,China,,True,D,M,1/1/1968 0:00,Xu,Yingzhuo,Founder & Entrepreneur,4/4/2023 5:01,,,1968.0,1.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,Agribusiness,1
1368,2200,Manufacturing,Yeung Kin-man,59.0,Hong Kong,Hong Kong,Electronics,Manufacturing,Hong Kong,,True,D,M,4/1/1964 0:00,Yeung,Kin-man,Founder & Entrepreneur,4/4/2023 5:01,,,1964.0,4.0,1.0,,,,,,,,,,,,Electronics,1
1368,2200,Logistics,Huijiao Yu,57.0,China,Shanghai,Package delivery,Logistics,China,Shanghai YTO Express (Logistics),True,D,M,4/1/1966 0:00,Yu,Huijiao,Founder and Chairman,4/4/2023 5:01,,,1966.0,4.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,"Package delivery, Shanghai YTO Express (Logistics)",2
1368,2200,Finance & Investments,Oren Zeev,58.0,United States,Los Altos,Investments,Finance & Investments,Israel,,True,D,M,9/23/1964 0:00,Zeev,Oren,Founder & Entrepreneur,4/4/2023 5:01,California,West,1964.0,9.0,23.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Investments,1
1368,2200,Manufacturing,Clayton Zekelman,54.0,Canada,Windsor,Steel,Manufacturing,Canada,,False,U,M,1/1/1969 0:00,Zekelman,Clayton,Heir & Major Shareholder,4/4/2023 5:01,,,1969.0,1.0,1.0,116.76,1.9,"$1,736,425,629,520 ",68.9,100.9,81.9,12.8,24.5,36991981.0,56.130366,-106.346771,Steel,1
1368,2200,Energy,Zhao Fenggang,57.0,China,Ningde,Batteries,Energy,China,,True,D,M,1/1/1966 0:00,Zhao,Fenggang,Founder & Entrepreneur,4/4/2023 5:01,,,1966.0,1.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,Batteries,1
1434,2100,Metals & Mining,Alex Beard,55.0,United Kingdom,London,"Mining, commodities",Metals & Mining,United Kingdom,,True,D,M,8/3/1967 0:00,Beard,Alex,Founder & Entrepreneur & Mining,4/4/2023 5:01,,,1967.0,8.0,3.0,119.62,1.7,"$2,827,113,184,696 ",60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973,"Mining, commodities",2
1434,2100,Food & Beverage,Travis Boersma,52.0,United States,Grants Pass,Coffee,Food & Beverage,United States,,True,D,M,1/1/1971 0:00,Boersma,Travis,Founder & Entrepreneur,4/4/2023 5:01,Oregon,West,1971.0,1.0,1.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Coffee,1
1434,2100,Construction & Engineering,Martin Bouygues,,France,Paris,"Construction, media",Construction & Engineering,France,,False,Split Family Fortune,M,,Bouygues,Martin,Heir & Major Shareholder & Construction,4/4/2023 5:01,,,,,,110.05,1.1,"$2,715,518,274,227 ",65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749,"Construction, media",2
1434,2100,Construction & Engineering,Olivier Bouygues,72.0,,,"Construction, media",Construction & Engineering,France,,False,Split Family Fortune,M,9/14/1950 0:00,Bouygues,Olivier,Heir & Major Shareholder & Construction,4/4/2023 5:01,,,1950.0,9.0,14.0,,,,,,,,,,,,"Construction, media",2
1434,2100,Gambling & Casinos,William Boyd & family,91.0,United States,Las Vegas,"Casinos, banking",Gambling & Casinos,United States,,True,D,M,11/4/1931 0:00,Boyd,William,Controlling Shareholder & Casinos & (Family Estate),4/4/2023 5:01,Nevada,West,1931.0,11.0,4.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,"Casinos, banking",2
1434,2100,Food & Beverage,Anand Burman,70.0,India,Delhi,Consumer goods,Food & Beverage,India,,False,D,M,5/5/1952 0:00,Burman,Anand,Heir & Major Shareholder,4/4/2023 5:01,,,1952.0,5.0,5.0,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,Consumer goods,1
1434,2100,Manufacturing,Cao Ji,71.0,China,Hangzhou,Manufacturing,Manufacturing,China,,True,D,M,1/1/1952 0:00,Cao,Ji,Founder & Entrepreneur,4/4/2023 5:01,,,1952.0,1.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,Manufacturing,1
1434,2100,Technology,Bruce Cheng,86.0,Taiwan,Taipei,Electronics,Technology,Taiwan,,True,E,M,11/3/1936 0:00,Cheng,Bruce,Founder & Entrepreneur,4/4/2023 5:01,,,1936.0,11.0,3.0,,,,,,,,,,,,Electronics,1
1434,2100,Technology,Chi Yufeng,52.0,China,Beijing,Software,Technology,China,,False,U,M,1/1/1971 0:00,Chi,Yufeng,Heir & Major Shareholder,4/4/2023 5:01,,,1971.0,1.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,Software,1
1434,2100,Energy,Daniel Chiu,62.0,Hong Kong,Hong Kong,Oil & gas,Energy,Hong Kong,,True,U,M,11/30/1960 0:00,Chiu,Daniel,Founder & Entrepreneur & Oil & gas,4/4/2023 5:01,,,1960.0,11.0,30.0,,,,,,,,,,,,Oil & gas,1
1434,2100,Healthcare,Beda Diethelm,82.0,Switzerland,Zurich,Hearing aids,Healthcare,Switzerland,,True,D,M,1/1/1941 0:00,Diethelm,Beda,Founder & Entrepreneur,4/4/2023 5:01,,,1941.0,1.0,1.0,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512,Hearing aids,1
1434,2100,Fashion & Retail,Domenico Dolce,64.0,Italy,Milan,Luxury goods,Fashion & Retail,Italy,,True,U,M,8/13/1958 0:00,Dolce,Domenico,Founder & Entrepreneur,4/4/2023 5:01,,,1958.0,8.0,13.0,110.62,0.6,"$2,001,244,392,042 ",61.9,101.9,82.9,24.3,59.1,60297396.0,41.87194,12.56738,Luxury goods,1
1434,2100,Technology,Ralph Dommermuth,59.0,Germany,Montabaur,Internet service provider,Technology,Germany,,True,D,M,11/19/1963 0:00,Dommermuth,Ralph,Founder & Entrepreneur,4/4/2023 5:01,,,1963.0,11.0,19.0,112.85,1.4,"$3,845,630,030,824 ",70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526,Internet service provider,1
1434,2100,Diversified,Georgi Domuschiev,50.0,United Kingdom,London,"Animal health, investments",Diversified,Bulgaria,,True,U,M,8/6/1972 0:00,Domuschiev,Georgi,Founder & Entrepreneur & health,4/4/2023 5:01,,,1972.0,8.0,6.0,119.62,1.7,"$2,827,113,184,696 ",60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973,"Animal health, investments",2
1434,2100,Diversified,Kiril Domuschiev,53.0,United Kingdom,London,"Animal health, investments",Diversified,Bulgaria,,True,U,M,4/18/1969 0:00,Domuschiev,Kiril,Founder & Entrepreneur & health,4/4/2023 5:01,,,1969.0,4.0,18.0,119.62,1.7,"$2,827,113,184,696 ",60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973,"Animal health, investments",2
1434,2100,Real Estate,Bob Ell,78.0,Australia,Surfers Paradise,Real estate,Real Estate,Australia,,True,E,M,12/22/1944 0:00,Ell,Bob,Founder & Entrepreneur,4/4/2023 5:01,,,1944.0,12.0,22.0,119.8,1.6,"$1,392,680,589,329 ",113.1,100.3,82.7,23.0,47.4,25766605.0,-25.274398,133.775136,Real estate,1
1434,2100,Energy,Paul Foster,65.0,United States,El Paso,Oil refining,Energy,United States,Western Refining,True,U,M,10/8/1957 0:00,Foster,Paul,Chairman & Oil,4/4/2023 5:01,Texas,South,1957.0,10.0,8.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,"Oil refining, Western Refining",2
1434,2100,Fashion & Retail,Stefano Gabbana,60.0,Italy,Milan,Luxury goods,Fashion & Retail,Italy,,True,U,M,11/14/1962 0:00,Gabbana,Stefano,Founder & Entrepreneur,4/4/2023 5:01,,,1962.0,11.0,14.0,110.62,0.6,"$2,001,244,392,042 ",61.9,101.9,82.9,24.3,59.1,60297396.0,41.87194,12.56738,Luxury goods,1
1434,2100,Manufacturing,Xingjiang Gao,59.0,China,Huzhou,Steel,Manufacturing,China,,True,D,M,11/1/1963 0:00,Gao,Xingjiang,Founder & Entrepreneur,4/4/2023 5:01,,,1963.0,11.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,Steel,1
1434,2100,Energy,Gordon Getty,89.0,United States,San Francisco,Getty Oil,Energy,United States,Ann & Gordon Getty Foundation,False,E,M,12/20/1933 0:00,Getty,Gordon,President and Chairman,4/4/2023 5:01,California,West,1933.0,12.0,20.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,"Ann & Gordon Getty Foundation, Getty Oil",2
1434,2100,Energy,Kamal Ghaffarian,64.0,United States,Naples,"Space, energy",Energy,United States,,True,N,M,4/28/1958 0:00,Ghaffarian,Kamal,Founder & Entrepreneur & Space,4/4/2023 5:01,Florida,South,1958.0,4.0,28.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,"Space, energy",2
1434,2100,Healthcare,Dennis Gillings,78.0,United States,Durham,Clinical trials,Healthcare,United Kingdom,,True,E,M,4/25/1944 0:00,Gillings,Dennis,Founder & Entrepreneur,4/4/2023 5:01,North Carolina,South,1944.0,4.0,25.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Clinical trials,1
1434,2100,Diversified,Harsh Goenka,65.0,India,Mumbai,Diversified,Diversified,India,,False,E,M,12/10/1957 0:00,Goenka,Harsh,Heir & Major Shareholder,4/4/2023 5:01,,,1957.0,12.0,10.0,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,Diversified,10
1434,2100,Diversified,Sanjiv Goenka,62.0,India,Kolkata,Diversified,Diversified,India,,False,D,M,1/29/1961 0:00,Goenka,Sanjiv,Heir & Major Shareholder,4/4/2023 5:01,,,1961.0,1.0,29.0,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,Diversified,10
